players_recieved,post_date,count
"PEEKE, ANDREW",2023-06-19,12
"PETERSEN, CAL",2023-05-10,12
"LAFRENIA RE, ALEXIS ",2023-05-12,12
"BOESER, BROCK",2023-06-01,12
2024 2ND (PHI),2023-06-05,12
2023 1ST (PIT),2023-05-09,12
"ARVIDSSON, VIKTOR",2023-06-16,12
"SCHMALTZ, NICK",2023-05-15,12
"MURRAY, MATT",2023-06-12,12
"BOESER, BROCK",2023-05-30,12
2023 1ST (VAN),2023-06-15,12
"HART, CARTER",2023-06-10,12
"MURRAY, MATT",2023-06-19,12
2023 1ST (PIT),2023-06-02,12
2023 1ST (PIT),2023-06-10,12
2023 3RD (NJD),2023-06-10,12
"MYERS, TYLER",2023-06-02,12
2023 1ST (CAR),2023-06-15,12
2023 1ST (CAR),2023-05-08,12
2023 1ST (CAR),2023-06-13,12
"MATTHEWS, AUSTON",2023-05-13,12
"DUBOIS, PIERRE-LUC ",2023-05-25,12
"KELLER, CLAYTON",2023-06-01,12
"MYERS, TYLER",2023-06-19,12
"DRURY, JACK",2023-06-14,12
"DRURY, JACK",2023-06-13,12
2023 1ST (CAR),2023-06-07,12
2023 1ST (CAR),2023-05-31,12
"DUBOIS, PIERRE-LUC ",2023-05-08,12
"MURRAY, MATT",2023-06-15,12
2023 3RD (PHI),2023-06-15,12
"NECAS, MARTIN",2023-05-30,12
"MANTHA, ANTHONY",2023-06-16,12
2024 2ND (PHI),2023-05-30,12
"DUBOIS, PIERRE-LUC ",2023-05-12,12
"LINDHOLM, ELIAS",2023-06-02,12
2023 1ST (BOS),2023-06-17,12
"MURRAY, MATT",2023-05-28,12
2023 1ST (NYI),2023-06-06,12
"HELLEBUYCK, CONNOR",2023-06-15,11
"KONECNY, TRAVIS",2023-05-08,11
"MYERS, TYLER",2023-06-12,11
"KONECNY, TRAVIS",2023-05-20,11
2023 2ND (CBJ),2023-06-14,11
"MURRAY, MATT",2023-05-18,11
"MYERS, TYLER",2023-06-07,11
2024 2ND (PIT),2023-05-24,11
"ROBERTSON, NICHOLAS",2023-06-13,11
"KONECNY, TRAVIS",2023-06-09,11
2023 2ND (LAK),2023-06-14,11
"LAFRENIA RE, ALEXIS ",2023-05-04,11
"MURRAY, MATT",2023-05-11,11
"DURZI, SEAN",2023-05-23,11
"DEBRINCAT, ALEX ",2023-05-17,11
2023 2ND (LAK),2023-06-06,11
2024 2ND (PIT),2023-06-14,11
2023 1ST (NYI),2023-06-16,11
"CROUSE, LAWSON",2023-05-26,11
"CROUSE, LAWSON",2023-05-25,11
"LAFRENIERE, ALEXIS ",2023-06-13,11
"CROUSE, LAWSON",2023-05-23,11
"MYERS, TYLER",2023-06-05,11
2023 1ST (PIT),2023-06-18,11
"HELLEBUYCK, CONNOR",2023-06-04,11
"DURZI, SEAN",2023-06-01,11
"GRANLUND, MIKAEL",2023-06-08,11
"LINDHOLM, ELIAS",2023-05-20,11
"SAROS, JUUSE",2023-06-07,11
2023 1ST (PIT),2023-05-11,11
"MARNER, MITCHELL",2023-05-22,11
"GRANLUND, MIKAEL",2023-06-05,11
"HANIFIN, NOAH",2023-06-06,11
2024 2ND (NYI),2023-05-11,11
"DURZI, SEAN",2023-06-02,11
"CROUSE, LAWSON",2023-05-21,11
2023 1ST (COL),2023-06-02,11
"KONECNY, TRAVIS",2023-06-18,11
2024 2ND (PIT),2023-05-09,11
2023 1ST (PIT),2023-06-01,11
"DEBRINCAT, ALEX ",2023-04-25,11
"ZADINA, FILIP",2023-06-08,11
"NYLANDER, WILLIAM",2023-05-27,11
"KONECNY, TRAVIS",2023-05-25,11
"BOESER, BROCK",2023-05-26,11
"HELLEBUYCK, CONNOR",2023-06-09,11
"HANIFIN, NOAH",2023-05-20,11
"LAUGHTON, SCOTT",2023-06-11,11
2023 3RD (NJD),2023-06-15,11
"FOLIGNO, MARCUS",2023-05-15,11
2023 2ND (CBJ),2023-05-15,11
"CROUSE, LAWSON",2023-06-08,11
2024 1ST (LAK),2023-05-26,11
"DUBOIS, PIERRE-LUC ",2023-06-17,11
"PESCE, BRETT",2023-06-01,11
2023 1ST (BOS),2023-05-10,11
2024 1ST (LAK),2023-05-20,11
"BOQVIST, ADAM",2023-06-10,11
"GARLAND, CONOR",2023-05-16,11
"VILARDI, GABRIEL ",2023-05-13,11
"DUBOIS, PIERRE-LUC ",2023-05-14,11
"GARLAND, CONOR",2023-05-17,11
"DUBOIS, PIERRE-LUC ",2023-05-13,11
2024 1ST (LAK),2023-06-15,11
"ROSLOVIC, JACK",2023-05-30,11
"LINDHOLM, ELIAS",2023-06-11,11
"GARLAND, CONOR",2023-05-24,11
"GARLAND, CONOR",2023-05-25,11
2023 1ST (VAN),2023-06-08,11
2023 1ST (VAN),2023-06-10,11
2023 2ND (VAN),2023-06-11,11
"PEEKE, ANDREW",2023-06-16,11
2023 1ST (LAK),2023-06-06,11
"PEEKE, ANDREW",2023-06-14,11
